Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
B*G*K?C+L+,B C G K L,S1,S0 S1 S2 S3 S4 S5,S4 --B--> S4 | S4 --C--> S2 | S4 --G--> S3 | S4 --K--> S0 | S5 --B--> S4 | S5 --C--> S2 | S5 --G--> S3 | S5 --K--> S0 | S3 --C--> S2 | S3 --G--> S3 | S3 --K--> S0 | S0 --C--> S2 | S2 --C--> S2 | S2 --L--> S1 | S1 --L--> S1,
(?:(?:K)A?DHD+C)J*|D+,,,,,Línea 1276: ValueError: '?' inválido.
[CAH]*,A C H [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --C--> S2 | S2 --A--> S3 | S3 --H--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:K*J*A+|JL?)C,,,,,Línea 1278: ValueError: '?' inválido.
[JCDB]*,B C D J [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --J--> S2 | S2 --C--> S3 | S3 --D--> S4 | S4 --B--> S6 | S6 --]--> S5 | S5 --]--> S5,
[JEDHB]*,B D E H J [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --J--> S2 | S2 --E--> S3 | S3 --D--> S4 | S4 --H--> S5 | S5 --B--> S7 | S7 --]--> S6 | S6 --]--> S6,
KI?C,C I K,S1,S0 S1 S2 S3,S0 --K--> S3 | S3 --C--> S1 | S3 --I--> S2 | S2 --C--> S1,
(?:CBK*)K+|A?DE+|D+I|G?E+,,,,,Línea 1282: ValueError: '?' inválido.
(?:(?:L+B*|G*E*E)K?|B*CF?C),,,,,Línea 1283: ValueError: '?' inválido.
[BLE]+,B E L [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --B--> S2 | S2 --L--> S3 | S3 --E--> S4 | S4 --]--> S5 | S5 --]--> S5,
(?:A*K*C?|A),,,,,Línea 1285: ValueError: '?' inválido.
[DCLBEJ],B C D E J L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --D--> S3 | S3 --C--> S4 | S4 --L--> S5 | S5 --B--> S6 | S6 --E--> S7 | S7 --J--> S8 | S8 --]--> S1,
[DIB]+,B D I [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --D--> S2 | S2 --I--> S3 | S3 --B--> S4 | S4 --]--> S5 | S5 --]--> S5,
[CLHJAG]+,A C G H J L [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --C--> S2 | S2 --L--> S3 | S3 --H--> S4 | S4 --J--> S5 | S5 --A--> S6 | S6 --G--> S7 | S7 --]--> S8 | S8 --]--> S8,
[FCEDJH]?,C D E F H J [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --F--> S2 | S2 --C--> S3 | S3 --E--> S4 | S4 --D--> S5 | S5 --J--> S6 | S6 --H--> S8 | S8 --]--> S7,
AE?|A+FL+DJ+A*,A D E F J L,S8 S3 S7 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S2 --A--> S8 | S8 --A--> S5 | S8 --E--> S3 | S8 --F--> S0 | S5 --A--> S5 | S5 --F--> S0 | S0 --L--> S6 | S6 --D--> S1 | S6 --L--> S6 | S1 --J--> S7 | S7 --A--> S4 | S7 --J--> S7 | S4 --A--> S4,
[GKD]*,D G K [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --G--> S2 | S2 --K--> S3 | S3 --D--> S5 | S5 --]--> S4 | S4 --]--> S4,
[JLHB]?,B H J L [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --J--> S2 | S2 --L--> S3 | S3 --H--> S4 | S4 --B--> S6 | S6 --]--> S5,
(?:E*)JJ+G*|K?KH*F,,,,,Línea 1293: ValueError: '?' inválido.
[JKLD]?,D J K L [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --J--> S2 | S2 --K--> S3 | S3 --L--> S4 | S4 --D--> S6 | S6 --]--> S5,
(?:IG+L+|H+)F,,,,,Línea 1295: ValueError: '?' inválido.
[GCJH]+,C G H J [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --G--> S2 | S2 --C--> S3 | S3 --J--> S4 | S4 --H--> S5 | S5 --]--> S6 | S6 --]--> S6,
(?:D*|IL*J|L+A*)D*,,,,,Línea 1297: ValueError: '?' inválido.
[BJG]*,B G J [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --B--> S2 | S2 --J--> S3 | S3 --G--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:A?CB?G|DK|F?G+),,,,,Línea 1299: ValueError: '?' inválido.
(?:L*D+L|L?K*|K)D?G+,,,,,Línea 1300: ValueError: '?' inválido.
[HKFJAE]+,A E F H J K [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --H--> S2 | S2 --K--> S3 | S3 --F--> S4 | S4 --J--> S5 | S5 --A--> S6 | S6 --E--> S7 | S7 --]--> S8 | S8 --]--> S8,
[GAJ]+,A G J [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --G--> S2 | S2 --A--> S3 | S3 --J--> S4 | S4 --]--> S5 | S5 --]--> S5,
(?:E+K?|CA*|FB+F?K*),,,,,Línea 1303: ValueError: '?' inválido.
(?:D+C?J+H)B?I?,,,,,Línea 1304: ValueError: '?' inválido.
(?:B+|I?J?H*L|J+),,,,,Línea 1305: ValueError: '?' inválido.
FC?|AF+G*E*E+K*|H+B*,A B C E F G H K,S6 S1 S9 S4 S7 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S3 --A--> S0 | S3 --F--> S6 | S3 --H--> S7 | S6 --C--> S1 | S0 --F--> S8 | S8 --E--> S9 | S8 --F--> S8 | S8 --G--> S5 | S5 --E--> S9 | S5 --G--> S5 | S9 --E--> S9 | S9 --K--> S4 | S4 --K--> S4 | S7 --B--> S2 | S7 --H--> S7 | S2 --B--> S2,
(?:E*|AG?C+B*J?L+),,,,,Línea 1307: ValueError: '?' inválido.
L?K+I*F?E+|H+A?E+E?,A E F H I K L,S3 S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S4 --H--> S6 | S4 --K--> S9 | S4 --L--> S0 | S0 --K--> S9 | S9 --E--> S3 | S9 --F--> S1 | S9 --I--> S5 | S9 --K--> S9 | S5 --E--> S3 | S5 --F--> S1 | S5 --I--> S5 | S1 --E--> S3 | S3 --E--> S3 | S6 --A--> S2 | S6 --E--> S7 | S6 --H--> S6 | S2 --E--> S7 | S8 --E--> S8 | S7 --E--> S8,
(?:(?:J|J*)A*EH*|F*D?)F+|L+,,,,,Línea 1309: ValueError: '?' inválido.
E|I+H+H,E H I,S0 S4,S0 S1 S2 S3 S4,S1 --E--> S0 | S1 --I--> S2 | S2 --H--> S3 | S2 --I--> S2 | S3 --H--> S4 | S4 --H--> S4,
[DCKFAE]?,A C D E F K [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --D--> S2 | S2 --C--> S3 | S3 --K--> S4 | S4 --F--> S5 | S5 --A--> S6 | S6 --E--> S8 | S8 --]--> S7,
[FABEI]+,A B E F I [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --F--> S2 | S2 --A--> S3 | S3 --B--> S4 | S4 --E--> S5 | S5 --I--> S6 | S6 --]--> S7 | S7 --]--> S7,
(?:G|E*F*JC),,,,,Línea 1313: ValueError: '?' inválido.
[LBFDE]*,B D E F L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --L--> S2 | S2 --B--> S3 | S3 --F--> S4 | S4 --D--> S5 | S5 --E--> S7 | S7 --]--> S6 | S6 --]--> S6,
EL?A*C|GK|KH+H?,A C E G H K L,S2 S3 S9 S8,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S5 --E--> S7 | S5 --G--> S0 | S5 --K--> S1 | S7 --A--> S4 | S7 --C--> S2 | S7 --L--> S6 | S6 --A--> S4 | S6 --C--> S2 | S4 --A--> S4 | S4 --C--> S2 | S0 --K--> S3 | S1 --H--> S8 | S9 --H--> S9 | S8 --H--> S9,
(?:K|E?I?L?L*)F+,,,,,Línea 1316: ValueError: '?' inválido.
(?:(?:B|D)J|L*EI?L?E*G*E*),,,,,Línea 1317: ValueError: '?' inválido.
D+|D*G*|H+K|J+H+B?|H*,B D G H J K,S6 S7 S3 S4 S0 S5 S1,S0 S1 S2 S3 S4 S5 S6 S7,S6 --D--> S6 | S6 --G--> S3 | S7 --D--> S6 | S7 --G--> S3 | S7 --H--> S4 | S7 --J--> S2 | S3 --G--> S3 | S4 --H--> S4 | S4 --K--> S0 | S2 --H--> S5 | S2 --J--> S2 | S5 --B--> S1 | S5 --H--> S5,
A?HF+|J*C?,A C F H J,S5 S3 S4 S2,S0 S1 S2 S3 S4 S5,S5 --A--> S1 | S5 --C--> S2 | S5 --H--> S0 | S5 --J--> S4 | S1 --H--> S0 | S0 --F--> S3 | S3 --F--> S3 | S4 --C--> S2 | S4 --J--> S4,
(?:(?:(?:K?)I?)C?)J?|D?E?|I?B?|G?D?,,,,,Línea 1320: ValueError: '?' inválido.
(?:B?A|J*)J+|H?L|L+I*FB,,,,,Línea 1321: ValueError: '?' inválido.
[HKLFA]*,A F H K L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --H--> S2 | S2 --K--> S3 | S3 --L--> S4 | S4 --F--> S5 | S5 --A--> S7 | S7 --]--> S6 | S6 --]--> S6,
(?:I)A+E?E*|C?,,,,,Línea 1323: ValueError: '?' inválido.
C+L+K?G*,C G K L,S4 S3 S1,S0 S1 S2 S3 S4,S0 --C--> S2 | S2 --C--> S2 | S2 --L--> S4 | S4 --G--> S1 | S4 --K--> S3 | S4 --L--> S4 | S3 --G--> S1 | S1 --G--> S1,
A?|J?F?EG+,A E F G J,S5 S1 S3,S0 S1 S2 S3 S4 S5,S5 --A--> S1 | S5 --E--> S0 | S5 --F--> S2 | S5 --J--> S4 | S4 --E--> S0 | S4 --F--> S2 | S2 --E--> S0 | S0 --G--> S3 | S3 --G--> S3,
(?:B?|B?C?|G+A+B*B?K+|K*CA*),,,,,Línea 1326: ValueError: '?' inválido.
A?|B*EJ|K+G?A+I?F?,A B E F G I J K,S8 S4 S1 S9 S6 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S8 --A--> S4 | S8 --B--> S5 | S8 --E--> S0 | S8 --K--> S7 | S5 --B--> S5 | S5 --E--> S0 | S0 --J--> S1 | S7 --A--> S9 | S7 --G--> S2 | S7 --K--> S7 | S2 --A--> S9 | S9 --A--> S9 | S9 --F--> S3 | S9 --I--> S6 | S6 --F--> S3,
(?:(?:GJ)B*|L+G?|F*),,,,,Línea 1328: ValueError: '?' inválido.
(?:C?F*|K+)E?,,,,,Línea 1329: ValueError: '?' inválido.
(?:(?:H?J+)G)E?K*,,,,,Línea 1330: ValueError: '?' inválido.
(?:E?)G?|D*L*|D+,,,,,Línea 1331: ValueError: '?' inválido.
(?:(?:I+)BJ+C*J*EJ*|G?)E+,,,,,Línea 1332: ValueError: '?' inválido.
I?J+|E?DC?A|AA?FC+|D+,A C D E F I J,S8 S11 S5 S7 S6,S0 S1 S10 S11 S12 S2 S3 S4 S5 S6 S7 S8 S9,S12 --A--> S10 | S12 --D--> S11 | S12 --E--> S2 | S12 --I--> S1 | S12 --J--> S8 | S1 --J--> S8 | S8 --J--> S8 | S2 --D--> S9 | S9 --A--> S5 | S9 --C--> S3 | S11 --A--> S5 | S11 --C--> S3 | S11 --D--> S6 | S3 --A--> S5 | S10 --A--> S4 | S10 --F--> S0 | S4 --F--> S0 | S0 --C--> S7 | S7 --C--> S7 | S6 --D--> S6,
[IHAJ],A H I J [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --I--> S3 | S3 --H--> S4 | S4 --A--> S5 | S5 --J--> S6 | S6 --]--> S1,
C+|KL*H+,C H K L,S2 S4,S0 S1 S2 S3 S4,S2 --C--> S2 | S0 --C--> S2 | S0 --K--> S3 | S3 --H--> S4 | S3 --L--> S1 | S1 --H--> S4 | S1 --L--> S1 | S4 --H--> S4,
[KHF],F H K [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --K--> S3 | S3 --H--> S4 | S4 --F--> S5 | S5 --]--> S1,
CI+A?B?|J*J?,A B C I J,S4 S5 S2 S1 S3,S0 S1 S2 S3 S4 S5,S4 --C--> S0 | S4 --J--> S3 | S0 --I--> S5 | S5 --A--> S2 | S5 --B--> S1 | S5 --I--> S5 | S2 --B--> S1 | S3 --J--> S3,
B|H+F*|G*GL?B?C+,B C F G H L,S0 S6 S2 S3,S0 S1 S2 S3 S4 S5 S6 S7,S4 --B--> S0 | S4 --G--> S7 | S4 --H--> S6 | S6 --F--> S2 | S6 --H--> S6 | S2 --F--> S2 | S7 --B--> S1 | S7 --C--> S3 | S7 --G--> S7 | S7 --L--> S5 | S5 --B--> S1 | S5 --C--> S3 | S1 --C--> S3 | S3 --C--> S3,
(?:C+K?)H*,,,,,Línea 1339: ValueError: '?' inválido.
(?:GE*|A+G?|A+),,,,,Línea 1340: ValueError: '?' inválido.
E+G?JG*G+J|LA?,A E G J L,S0 S5 S3,S0 S1 S2 S3 S4 S5 S6 S7,S7 --E--> S7 | S7 --G--> S2 | S7 --J--> S4 | S1 --E--> S7 | S1 --L--> S5 | S2 --J--> S4 | S4 --G--> S6 | S6 --G--> S6 | S6 --J--> S0 | S5 --A--> S3,
(?:(?:I*C?|J*D+H+I+)G*),,,,,Línea 1342: ValueError: '?' inválido.
H+|L*D*K?CD*DJ*K+|C?,C D H J K L,S3 S9 S5 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S3 --H--> S3 | S9 --C--> S5 | S9 --D--> S6 | S9 --H--> S3 | S9 --K--> S0 | S9 --L--> S8 | S8 --C--> S2 | S8 --D--> S6 | S8 --K--> S0 | S8 --L--> S8 | S6 --C--> S2 | S6 --D--> S6 | S6 --K--> S0 | S0 --C--> S2 | S2 --D--> S7 | S5 --D--> S7 | S7 --D--> S7 | S7 --J--> S1 | S7 --K--> S4 | S1 --J--> S1 | S1 --K--> S4 | S4 --K--> S4,
(?:H?)J*|C?A*L?|B+,,,,,Línea 1344: ValueError: '?' inválido.
(?:J)C|B+K?,,,,,Línea 1345: ValueError: '?' inválido.
(?:D?H+C?D*),,,,,Línea 1346: ValueError: '?' inválido.
(?:EE*L*|D*K+)C+F?F?|L,,,,,Línea 1347: ValueError: '?' inválido.
(?:(?:C?)DG)B*|L?L*,,,,,Línea 1348: ValueError: '?' inválido.
(?:(?:I?)E|A*)F?|L*J*,,,,,Línea 1349: ValueError: '?' inválido.
(?:J?)H*|I+D?,,,,,Línea 1350: ValueError: '?' inválido.
(?:E|L?D*LC?L?)H+,,,,,Línea 1351: ValueError: '?' inválido.
[KCI]*,C I K [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --K--> S2 | S2 --C--> S3 | S3 --I--> S5 | S5 --]--> S4 | S4 --]--> S4,
G+|A?F|LCK?|D,A C D F G K L,S5 S3 S6 S4 S1,S0 S1 S2 S3 S4 S5 S6 S7,S5 --G--> S5 | S7 --A--> S2 | S7 --D--> S1 | S7 --F--> S3 | S7 --G--> S5 | S7 --L--> S0 | S2 --F--> S3 | S0 --C--> S6 | S6 --K--> S4,
I*A+I|G?B?J+|F*,A B F G I J,S7 S0 S5 S3,S0 S1 S2 S3 S4 S5 S6 S7,S2 --A--> S4 | S2 --I--> S2 | S7 --A--> S4 | S7 --B--> S1 | S7 --F--> S3 | S7 --G--> S6 | S7 --I--> S2 | S7 --J--> S5 | S4 --A--> S4 | S4 --I--> S0 | S6 --B--> S1 | S6 --J--> S5 | S1 --J--> S5 | S5 --J--> S5 | S3 --F--> S3,
(?:(?:(?:G+)D*)H*|L*B*)CB*,,,,,Línea 1355: ValueError: '?' inválido.
[FBL]*,B F L [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --F--> S2 | S2 --B--> S3 | S3 --L--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:(?:G?|D?)C?|C+)H+L*BB+|A*G*A*|B?,,,,,Línea 1357: ValueError: '?' inválido.
(?:F*|I+C+|E*)C*,,,,,Línea 1358: ValueError: '?' inválido.
(?:(?:(?:(?:(?:H|C?)K*|K*)G|F?F?A*K*)H*|G+)H?),,,,,Línea 1359: ValueError: '?' inválido.
I*F?I+,F I,S3 S1,S0 S1 S2 S3,S3 --F--> S0 | S3 --I--> S3 | S2 --F--> S0 | S2 --I--> S3 | S0 --I--> S1 | S1 --I--> S1,
(?:A?K?)JI?|G?L+,,,,,Línea 1361: ValueError: '?' inválido.
L|F?H|H+H+|I+K*|H+C+|I+AA?,A C F H I K L,S2 S9 S3 S10 S7 S4 S5 S6 S1,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S8 --F--> S0 | S8 --H--> S9 | S8 --I--> S7 | S8 --L--> S2 | S0 --H--> S3 | S9 --C--> S5 | S9 --H--> S10 | S10 --C--> S5 | S10 --H--> S10 | S7 --A--> S6 | S7 --I--> S7 | S7 --K--> S4 | S4 --K--> S4 | S5 --C--> S5 | S6 --A--> S1,
[BIJ]+,B I J [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --B--> S2 | S2 --I--> S3 | S3 --J--> S4 | S4 --]--> S5 | S5 --]--> S5,
F?|G?C*J?|JG?,C F G J,S6 S1 S5 S3 S4 S2 S0,S0 S1 S2 S3 S4 S5 S6,S6 --C--> S3 | S6 --F--> S1 | S6 --G--> S5 | S6 --J--> S4 | S5 --C--> S3 | S5 --J--> S2 | S3 --C--> S3 | S3 --J--> S2 | S4 --G--> S0,
(?:K+|C)EL|CI+B,,,,,Línea 1365: ValueError: '?' inválido.
(?:B?E*C*J?H*|E?)E,,,,,Línea 1366: ValueError: '?' inválido.
(?:F?|C*)D*E+I?A|C*,,,,,Línea 1367: ValueError: '?' inválido.
F+|B*E?E?|B?B+K+|G?L*,B E F G K L,S4 S8 S7 S6 S5 S1 S2 S3 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S4 --F--> S4 | S8 --B--> S7 | S8 --E--> S5 | S8 --F--> S4 | S8 --G--> S3 | S8 --L--> S0 | S7 --B--> S6 | S7 --E--> S5 | S7 --K--> S2 | S6 --B--> S6 | S6 --E--> S5 | S6 --K--> S2 | S5 --E--> S1 | S2 --K--> S2 | S3 --L--> S0 | S0 --L--> S0,
(?:K?A*|H?G|KI*)K+|AI+,,,,,Línea 1369: ValueError: '?' inválido.
[FKIG]*,F G I K [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --F--> S2 | S2 --K--> S3 | S3 --I--> S4 | S4 --G--> S6 | S6 --]--> S5 | S5 --]--> S5,
[KLIG],G I K L [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --K--> S3 | S3 --L--> S4 | S4 --I--> S5 | S5 --G--> S6 | S6 --]--> S1,
[BGALFH]*,A B F G H L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --B--> S2 | S2 --G--> S3 | S3 --A--> S4 | S4 --L--> S5 | S5 --F--> S6 | S6 --H--> S8 | S8 --]--> S7 | S7 --]--> S7,
(?:D+J*J*|L?),,,,,Línea 1373: ValueError: '?' inválido.
(?:B*C*DCK*D*)L*|E+,,,,,Línea 1374: ValueError: '?' inválido.
[HLKJF]?,F H J K L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --H--> S2 | S2 --L--> S3 | S3 --K--> S4 | S4 --J--> S5 | S5 --F--> S7 | S7 --]--> S6,
(?:FL?|A?AJ*C?E*),,,,,Línea 1376: ValueError: '?' inválido.
(?:(?:(?:I|L*)L?|F*D*)JF+G?)A*D,,,,,Línea 1377: ValueError: '?' inválido.
GI|E?F+G,E F G I,S1 S2,S0 S1 S2 S3 S4 S5,S5 --E--> S3 | S5 --F--> S4 | S5 --G--> S0 | S0 --I--> S1 | S3 --F--> S4 | S4 --F--> S4 | S4 --G--> S2,
D*G+B+G*|BB|L,B D G L,S7 S5 S2 S1,S0 S1 S2 S3 S4 S5 S6 S7,S3 --D--> S3 | S3 --G--> S4 | S6 --B--> S0 | S6 --D--> S3 | S6 --G--> S4 | S6 --L--> S1 | S4 --B--> S7 | S4 --G--> S4 | S7 --B--> S7 | S7 --G--> S5 | S5 --G--> S5 | S0 --B--> S2,
[JKLAG]?,A G J K L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --J--> S2 | S2 --K--> S3 | S3 --L--> S4 | S4 --A--> S5 | S5 --G--> S7 | S7 --]--> S6,
[EFJLG]?,E F G J L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --E--> S2 | S2 --F--> S3 | S3 --J--> S4 | S4 --L--> S5 | S5 --G--> S7 | S7 --]--> S6,
(?:KHI?D*|E)F+G?,,,,,Línea 1382: ValueError: '?' inválido.
E+E*F*|L+,E F L,S4 S3 S1 S2,S0 S1 S2 S3 S4,S4 --E--> S4 | S4 --F--> S1 | S3 --E--> S4 | S3 --F--> S1 | S0 --E--> S3 | S0 --L--> S2 | S1 --F--> S1 | S2 --L--> S2,
(?:(?:G)B+|J?KB?|B),,,,,Línea 1384: ValueError: '?' inválido.
(?:H?|AA+|G)H?,,,,,Línea 1385: ValueError: '?' inválido.
(?:(?:(?:E?L?|G+H+|H?L+)C*F*|H?)A*G|H?),,,,,Línea 1386: ValueError: '?' inválido.
(?:(?:K*|F+K?AC+L*F?I?|D?)H),,,,,Línea 1387: ValueError: '?' inválido.
(?:F+|LG*G?G?|F?D?|L)L?|E+,,,,,Línea 1388: ValueError: '?' inválido.
(?:(?:(?:C+I|K?C+|G*)C+A+|I+F+)L+L),,,,,Línea 1389: ValueError: '?' inválido.
D?J*H|K+I+|E+I?LJ?H,D E H I J K L,S1 S7 S0,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S10 --D--> S6 | S10 --E--> S9 | S10 --H--> S1 | S10 --J--> S4 | S10 --K--> S5 | S6 --H--> S1 | S6 --J--> S4 | S4 --H--> S1 | S4 --J--> S4 | S5 --I--> S7 | S5 --K--> S5 | S7 --I--> S7 | S9 --E--> S9 | S9 --I--> S2 | S9 --L--> S8 | S2 --L--> S8 | S8 --H--> S0 | S8 --J--> S3 | S3 --H--> S0,
[LCIHA],A C H I L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --L--> S3 | S3 --C--> S4 | S4 --I--> S5 | S5 --H--> S6 | S6 --A--> S7 | S7 --]--> S1,
(?:A+I?I|L*K*|H*),,,,,Línea 1392: ValueError: '?' inválido.
[KDA]+,A D K [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --K--> S2 | S2 --D--> S3 | S3 --A--> S4 | S4 --]--> S5 | S5 --]--> S5,
I?K?|HA?,A H I K,S4 S3 S0 S2 S1,S0 S1 S2 S3 S4,S4 --H--> S2 | S4 --I--> S3 | S4 --K--> S0 | S3 --K--> S0 | S2 --A--> S1,
[EGK]*,E G K [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --E--> S2 | S2 --G--> S3 | S3 --K--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:J*B*|D?B*C|H*)C+F?E|A*B?,,,,,Línea 1396: ValueError: '?' inválido.
[ECI]*,C E I [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --E--> S2 | S2 --C--> S3 | S3 --I--> S5 | S5 --]--> S4 | S4 --]--> S4,
[FHI]+,F H I [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --F--> S2 | S2 --H--> S3 | S3 --I--> S4 | S4 --]--> S5 | S5 --]--> S5,
(?:(?:(?:(?:HJ)E?)G*)L*L*E*),,,,,Línea 1399: ValueError: '?' inválido.
(?:(?:(?:KB)FJ*)L*)I+|A+L*B*,,,,,Línea 1400: ValueError: '?' inválido.
(?:L*G?)FB*D?,,,,,Línea 1401: ValueError: '?' inválido.
[BCLF],B C F L [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --B--> S3 | S3 --C--> S4 | S4 --L--> S5 | S5 --F--> S6 | S6 --]--> S1,
[JKIBG]*,B G I J K [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --J--> S2 | S2 --K--> S3 | S3 --I--> S4 | S4 --B--> S5 | S5 --G--> S7 | S7 --]--> S6 | S6 --]--> S6,
(?:(?:I?|L+G?|L*B?|H+)H?L?L?B+)H|K+,,,,,Línea 1404: ValueError: '?' inválido.
(?:CGL?),,,,,Línea 1405: ValueError: '?' inválido.
(?:A+|G)EA*,,,,,Línea 1406: ValueError: '?' inválido.
(?:K*L*)F|D?F*,,,,,Línea 1407: ValueError: '?' inválido.
[HEKBC]*,B C E H K [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --H--> S2 | S2 --E--> S3 | S3 --K--> S4 | S4 --B--> S5 | S5 --C--> S7 | S7 --]--> S6 | S6 --]--> S6,
GB?I|JL+|K,B G I J K L,S3 S5 S1,S0 S1 S2 S3 S4 S5 S6,S4 --G--> S6 | S4 --J--> S0 | S4 --K--> S1 | S6 --B--> S2 | S6 --I--> S3 | S2 --I--> S3 | S0 --L--> S5 | S5 --L--> S5,
[GBKA],A B G K [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --G--> S3 | S3 --B--> S4 | S4 --K--> S5 | S5 --A--> S6 | S6 --]--> S1,
[BIA]+,A B I [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --B--> S2 | S2 --I--> S3 | S3 --A--> S4 | S4 --]--> S5 | S5 --]--> S5,
(?:H*A?B+|EF*AD+J+),,,,,Línea 1412: ValueError: '?' inválido.
(?:(?:J+|D?)J*GD*J*)L+|H*E,,,,,Línea 1413: ValueError: '?' inválido.
D+D*D?|HK,D H K,S4 S3 S1,S0 S1 S2 S3 S4,S4 --D--> S4 | S3 --D--> S4 | S2 --D--> S3 | S2 --H--> S0 | S0 --K--> S1,
(?:K+|F?DE?D*)EE*|CJ*F?,,,,,Línea 1415: ValueError: '?' inválido.
K?|L?K?AK*G+K|D+FC?,A C D F G K L,S10 S7 S1 S8 S2,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S10 --A--> S4 | S10 --D--> S6 | S10 --K--> S7 | S10 --L--> S9 | S7 --A--> S4 | S9 --A--> S4 | S9 --K--> S0 | S0 --A--> S4 | S4 --G--> S5 | S4 --K--> S3 | S3 --G--> S5 | S3 --K--> S3 | S5 --G--> S5 | S5 --K--> S1 | S6 --D--> S6 | S6 --F--> S8 | S8 --C--> S2,
[GAC]+,A C G [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --G--> S2 | S2 --A--> S3 | S3 --C--> S4 | S4 --]--> S5 | S5 --]--> S5,
(?:H*|IK*B?),,,,,Línea 1418: ValueError: '?' inválido.
