Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
(((H|G|J)+D)(B(G|I)*E))*,B D E G H I J,S1 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --D--> S0 | S7 --G--> S8 | S7 --H--> S7 | S7 --J--> S6 | S8 --D--> S0 | S8 --G--> S8 | S8 --H--> S7 | S8 --J--> S6 | S6 --D--> S0 | S6 --G--> S8 | S6 --H--> S7 | S6 --J--> S6 | S1 --G--> S8 | S1 --H--> S7 | S1 --J--> S6 | S2 --G--> S8 | S2 --H--> S7 | S2 --J--> S6 | S0 --B--> S3 | S3 --E--> S1 | S3 --G--> S4 | S3 --I--> S5 | S4 --E--> S1 | S4 --G--> S4 | S4 --I--> S5 | S5 --E--> S1 | S5 --G--> S4 | S5 --I--> S5,
((A|F|K)*E)|((H|G|J|K)*DFG)|(L|H|E|B)+E,A B D E F G H J K L,S15 S2 S3 S14,S0 S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S2 S3 S4 S5 S6 S7 S8 S9,S5 --A--> S5 | S5 --E--> S2 | S5 --F--> S6 | S5 --K--> S4 | S6 --A--> S5 | S6 --E--> S2 | S6 --F--> S6 | S6 --K--> S4 | S4 --A--> S5 | S4 --E--> S2 | S4 --F--> S6 | S4 --K--> S4 | S16 --A--> S5 | S16 --D--> S0 | S16 --E--> S2 | S16 --F--> S6 | S16 --G--> S11 | S16 --H--> S10 | S16 --J--> S8 | S16 --K--> S16 | S17 --A--> S5 | S17 --B--> S9 | S17 --D--> S0 | S17 --E--> S15 | S17 --F--> S6 | S17 --G--> S11 | S17 --H--> S18 | S17 --J--> S8 | S17 --K--> S16 | S17 --L--> S12 | S15 --B--> S9 | S15 --E--> S14 | S15 --H--> S13 | S15 --L--> S12 | S10 --D--> S0 | S10 --G--> S11 | S10 --H--> S10 | S10 --J--> S8 | S10 --K--> S7 | S18 --B--> S9 | S18 --D--> S0 | S18 --E--> S14 | S18 --G--> S11 | S18 --H--> S18 | S18 --J--> S8 | S18 --K--> S7 | S18 --L--> S12 | S11 --D--> S0 | S11 --G--> S11 | S11 --H--> S10 | S11 --J--> S8 | S11 --K--> S7 | S8 --D--> S0 | S8 --G--> S11 | S8 --H--> S10 | S8 --J--> S8 | S8 --K--> S7 | S7 --D--> S0 | S7 --G--> S11 | S7 --H--> S10 | S7 --J--> S8 | S7 --K--> S7 | S0 --F--> S1 | S1 --G--> S3 | S12 --B--> S9 | S12 --E--> S14 | S12 --H--> S13 | S12 --L--> S12 | S13 --B--> S9 | S13 --E--> S14 | S13 --H--> S13 | S13 --L--> S12 | S14 --B--> S9 | S14 --E--> S14 | S14 --H--> S13 | S14 --L--> S12 | S9 --B--> S9 | S9 --E--> S14 | S9 --H--> S13 | S9 --L--> S12,
(C|B|I)+H(G(L|E)*D),B C D E G H I L,S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --B--> S8 | S7 --C--> S7 | S7 --H--> S1 | S7 --I--> S6 | S8 --B--> S8 | S8 --C--> S7 | S8 --H--> S1 | S8 --I--> S6 | S6 --B--> S8 | S6 --C--> S7 | S6 --H--> S1 | S6 --I--> S6 | S2 --B--> S8 | S2 --C--> S7 | S2 --I--> S6 | S1 --G--> S3 | S3 --D--> S0 | S3 --E--> S5 | S3 --L--> S4 | S4 --D--> S0 | S4 --E--> S5 | S4 --L--> S4 | S5 --D--> S0 | S5 --E--> S5 | S5 --L--> S4,
(I|A|K)*H((B|E))|((B|J|K)*L((B|I|F|E)))*|((J|H|C|D)*F)*,A B C D E F H I J K L,S22 S1 S2 S17 S18 S16 S12 S15,S0 S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S22 S3 S4 S5 S6 S7 S8 S9,S6 --A--> S7 | S6 --H--> S0 | S6 --I--> S6 | S6 --K--> S4 | S7 --A--> S7 | S7 --H--> S0 | S7 --I--> S6 | S7 --K--> S4 | S4 --A--> S7 | S4 --H--> S0 | S4 --I--> S6 | S4 --K--> S4 | S20 --A--> S7 | S20 --B--> S8 | S20 --H--> S0 | S20 --I--> S6 | S20 --J--> S9 | S20 --K--> S20 | S20 --L--> S3 | S22 --A--> S7 | S22 --B--> S8 | S22 --C--> S11 | S22 --D--> S10 | S22 --F--> S15 | S22 --H--> S19 | S22 --I--> S6 | S22 --J--> S21 | S22 --K--> S20 | S22 --L--> S3 | S0 --B--> S1 | S0 --E--> S2 | S19 --B--> S1 | S19 --C--> S11 | S19 --D--> S10 | S19 --E--> S2 | S19 --F--> S15 | S19 --H--> S14 | S19 --J--> S13 | S8 --B--> S8 | S8 --J--> S9 | S8 --K--> S5 | S8 --L--> S3 | S9 --B--> S8 | S9 --J--> S9 | S9 --K--> S5 | S9 --L--> S3 | S21 --B--> S8 | S21 --C--> S11 | S21 --D--> S10 | S21 --F--> S15 | S21 --H--> S14 | S21 --J--> S21 | S21 --K--> S5 | S21 --L--> S3 | S5 --B--> S8 | S5 --J--> S9 | S5 --K--> S5 | S5 --L--> S3 | S17 --B--> S8 | S17 --J--> S9 | S17 --K--> S5 | S17 --L--> S3 | S18 --B--> S8 | S18 --J--> S9 | S18 --K--> S5 | S18 --L--> S3 | S16 --B--> S8 | S16 --J--> S9 | S16 --K--> S5 | S16 --L--> S3 | S12 --B--> S8 | S12 --J--> S9 | S12 --K--> S5 | S12 --L--> S3 | S3 --B--> S17 | S3 --E--> S12 | S3 --F--> S16 | S3 --I--> S18 | S13 --C--> S11 | S13 --D--> S10 | S13 --F--> S15 | S13 --H--> S14 | S13 --J--> S13 | S14 --C--> S11 | S14 --D--> S10 | S14 --F--> S15 | S14 --H--> S14 | S14 --J--> S13 | S11 --C--> S11 | S11 --D--> S10 | S11 --F--> S15 | S11 --H--> S14 | S11 --J--> S13 | S10 --C--> S11 | S10 --D--> S10 | S10 --F--> S15 | S10 --H--> S14 | S10 --J--> S13 | S15 --C--> S11 | S15 --D--> S10 | S15 --F--> S15 | S15 --H--> S14 | S15 --J--> S13,
((E|D|L|H)*L((B|A|C)))*((L|I|E)*I((C|A|B)))(I(H|F|I|J)*A)(D|A)*HDD,A B C D E F H I J L,S0,S0 S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S22 S23 S24 S25 S26 S3 S4 S5 S6 S7 S8 S9,S15 --D--> S16 | S15 --E--> S15 | S15 --H--> S11 | S15 --L--> S20 | S23 --D--> S16 | S23 --E--> S23 | S23 --H--> S11 | S23 --I--> S19 | S23 --L--> S26 | S16 --D--> S16 | S16 --E--> S15 | S16 --H--> S11 | S16 --L--> S20 | S20 --A--> S25 | S20 --B--> S24 | S20 --C--> S22 | S20 --D--> S16 | S20 --E--> S15 | S20 --H--> S11 | S20 --L--> S20 | S26 --A--> S25 | S26 --B--> S24 | S26 --C--> S22 | S26 --D--> S16 | S26 --E--> S23 | S26 --H--> S11 | S26 --I--> S19 | S26 --L--> S26 | S11 --D--> S16 | S11 --E--> S15 | S11 --H--> S11 | S11 --L--> S20 | S24 --D--> S16 | S24 --E--> S23 | S24 --H--> S11 | S24 --I--> S19 | S24 --L--> S26 | S25 --D--> S16 | S25 --E--> S23 | S25 --H--> S11 | S25 --I--> S19 | S25 --L--> S26 | S22 --D--> S16 | S22 --E--> S23 | S22 --H--> S11 | S22 --I--> S19 | S22 --L--> S26 | S21 --D--> S16 | S21 --E--> S23 | S21 --H--> S11 | S21 --I--> S19 | S21 --L--> S26 | S10 --E--> S9 | S10 --I--> S19 | S10 --L--> S10 | S19 --A--> S5 | S19 --B--> S3 | S19 --C--> S4 | S19 --E--> S9 | S19 --I--> S19 | S19 --L--> S10 | S9 --E--> S9 | S9 --I--> S19 | S9 --L--> S10 | S4 --I--> S12 | S5 --I--> S12 | S3 --I--> S12 | S12 --A--> S6 | S12 --F--> S18 | S12 --H--> S17 | S12 --I--> S14 | S12 --J--> S13 | S17 --A--> S6 | S17 --F--> S18 | S17 --H--> S17 | S17 --I--> S14 | S17 --J--> S13 | S18 --A--> S6 | S18 --F--> S18 | S18 --H--> S17 | S18 --I--> S14 | S18 --J--> S13 | S14 --A--> S6 | S14 --F--> S18 | S14 --H--> S17 | S14 --I--> S14 | S14 --J--> S13 | S13 --A--> S6 | S13 --F--> S18 | S13 --H--> S17 | S13 --I--> S14 | S13 --J--> S13 | S6 --A--> S8 | S6 --D--> S7 | S6 --H--> S1 | S7 --A--> S8 | S7 --D--> S7 | S7 --H--> S1 | S8 --A--> S8 | S8 --D--> S7 | S8 --H--> S1 | S1 --D--> S2 | S2 --D--> S0,
((H|J|D|E)+K(L|A)*IDK(C|A|I|K)*CDL)*,A C D E H I J K L,S6 S7,S0 S1 S10 S11 S12 S13 S14 S15 S16 S2 S3 S4 S5 S6 S7 S8 S9,S14 --D--> S12 | S14 --E--> S10 | S14 --H--> S14 | S14 --J--> S15 | S14 --K--> S3 | S15 --D--> S12 | S15 --E--> S10 | S15 --H--> S14 | S15 --J--> S15 | S15 --K--> S3 | S12 --D--> S12 | S12 --E--> S10 | S12 --H--> S14 | S12 --J--> S15 | S12 --K--> S3 | S10 --D--> S12 | S10 --E--> S10 | S10 --H--> S14 | S10 --J--> S15 | S10 --K--> S3 | S6 --D--> S12 | S6 --E--> S10 | S6 --H--> S14 | S6 --J--> S15 | S7 --D--> S12 | S7 --E--> S10 | S7 --H--> S14 | S7 --J--> S15 | S3 --A--> S5 | S3 --I--> S0 | S3 --L--> S4 | S4 --A--> S5 | S4 --I--> S0 | S4 --L--> S4 | S5 --A--> S5 | S5 --I--> S0 | S5 --L--> S4 | S0 --D--> S1 | S1 --K--> S8 | S8 --A--> S13 | S8 --C--> S16 | S8 --I--> S11 | S8 --K--> S9 | S16 --A--> S13 | S16 --C--> S16 | S16 --D--> S2 | S16 --I--> S11 | S16 --K--> S9 | S13 --A--> S13 | S13 --C--> S16 | S13 --I--> S11 | S13 --K--> S9 | S11 --A--> S13 | S11 --C--> S16 | S11 --I--> S11 | S11 --K--> S9 | S9 --A--> S13 | S9 --C--> S16 | S9 --I--> S11 | S9 --K--> S9 | S2 --L--> S6,
((A|K|G)*JCF(((E|D|F|C)*H((H|F|C|I)))*)(K|D)*(A|B)+K)*,A B C D E F G H I J K,S10 S11,S0 S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9,S8 --A--> S8 | S8 --G--> S5 | S8 --J--> S0 | S8 --K--> S9 | S9 --A--> S8 | S9 --G--> S5 | S9 --J--> S0 | S9 --K--> S9 | S5 --A--> S8 | S5 --G--> S5 | S5 --J--> S0 | S5 --K--> S9 | S10 --A--> S8 | S10 --G--> S5 | S10 --J--> S0 | S10 --K--> S9 | S11 --A--> S8 | S11 --G--> S5 | S11 --J--> S0 | S11 --K--> S9 | S0 --C--> S1 | S1 --F--> S16 | S16 --A--> S3 | S16 --B--> S4 | S16 --C--> S12 | S16 --D--> S18 | S16 --E--> S14 | S16 --F--> S13 | S16 --H--> S2 | S16 --K--> S6 | S14 --C--> S12 | S14 --D--> S15 | S14 --E--> S14 | S14 --F--> S13 | S14 --H--> S2 | S15 --C--> S12 | S15 --D--> S15 | S15 --E--> S14 | S15 --F--> S13 | S15 --H--> S2 | S18 --A--> S3 | S18 --B--> S4 | S18 --C--> S12 | S18 --D--> S18 | S18 --E--> S14 | S18 --F--> S13 | S18 --H--> S2 | S18 --K--> S6 | S13 --C--> S12 | S13 --D--> S15 | S13 --E--> S14 | S13 --F--> S13 | S13 --H--> S2 | S12 --C--> S12 | S12 --D--> S15 | S12 --E--> S14 | S12 --F--> S13 | S12 --H--> S2 | S20 --A--> S3 | S20 --B--> S4 | S20 --C--> S12 | S20 --D--> S18 | S20 --E--> S14 | S20 --F--> S13 | S20 --H--> S2 | S20 --K--> S6 | S21 --A--> S3 | S21 --B--> S4 | S21 --C--> S12 | S21 --D--> S18 | S21 --E--> S14 | S21 --F--> S13 | S21 --H--> S2 | S21 --K--> S6 | S19 --A--> S3 | S19 --B--> S4 | S19 --C--> S12 | S19 --D--> S18 | S19 --E--> S14 | S19 --F--> S13 | S19 --H--> S2 | S19 --K--> S6 | S17 --A--> S3 | S17 --B--> S4 | S17 --C--> S12 | S17 --D--> S18 | S17 --E--> S14 | S17 --F--> S13 | S17 --H--> S2 | S17 --K--> S6 | S2 --C--> S19 | S2 --F--> S21 | S2 --H--> S20 | S2 --I--> S17 | S6 --A--> S3 | S6 --B--> S4 | S6 --D--> S7 | S6 --K--> S6 | S7 --A--> S3 | S7 --B--> S4 | S7 --D--> S7 | S7 --K--> S6 | S3 --A--> S3 | S3 --B--> S4 | S3 --K--> S10 | S4 --A--> S3 | S4 --B--> S4 | S4 --K--> S10,
(A|L|J|I)*L|((F|L)*H((A|H|J)))*,A F H I J L,S11 S9 S10 S5 S6 S3,S0 S1 S10 S11 S2 S3 S4 S5 S6 S7 S8 S9,S8 --A--> S8 | S8 --I--> S4 | S8 --J--> S7 | S8 --L--> S9 | S11 --A--> S8 | S11 --F--> S1 | S11 --H--> S0 | S11 --I--> S4 | S11 --J--> S7 | S11 --L--> S11 | S9 --A--> S8 | S9 --I--> S4 | S9 --J--> S7 | S9 --L--> S9 | S7 --A--> S8 | S7 --I--> S4 | S7 --J--> S7 | S7 --L--> S9 | S4 --A--> S8 | S4 --I--> S4 | S4 --J--> S7 | S4 --L--> S9 | S10 --A--> S8 | S10 --F--> S1 | S10 --H--> S0 | S10 --I--> S4 | S10 --J--> S7 | S10 --L--> S11 | S1 --F--> S1 | S1 --H--> S0 | S1 --L--> S2 | S2 --F--> S1 | S2 --H--> S0 | S2 --L--> S2 | S5 --F--> S1 | S5 --H--> S0 | S5 --L--> S2 | S6 --F--> S1 | S6 --H--> S0 | S6 --L--> S2 | S3 --F--> S1 | S3 --H--> S0 | S3 --L--> S2 | S0 --A--> S5 | S0 --H--> S6 | S0 --J--> S3,
(((L|F)*K((F|A|D|E)))*)(B|I)*K,A B D E F I K L,S6 S0,S0 S1 S10 S11 S2 S3 S4 S5 S6 S7 S8 S9,S1 --F--> S2 | S1 --K--> S5 | S1 --L--> S1 | S2 --F--> S2 | S2 --K--> S5 | S2 --L--> S1 | S10 --B--> S3 | S10 --F--> S2 | S10 --I--> S4 | S10 --K--> S6 | S10 --L--> S1 | S11 --B--> S3 | S11 --F--> S2 | S11 --I--> S4 | S11 --K--> S6 | S11 --L--> S1 | S9 --B--> S3 | S9 --F--> S2 | S9 --I--> S4 | S9 --K--> S6 | S9 --L--> S1 | S8 --B--> S3 | S8 --F--> S2 | S8 --I--> S4 | S8 --K--> S6 | S8 --L--> S1 | S7 --B--> S3 | S7 --F--> S2 | S7 --I--> S4 | S7 --K--> S6 | S7 --L--> S1 | S5 --A--> S11 | S5 --D--> S9 | S5 --E--> S8 | S5 --F--> S10 | S6 --A--> S11 | S6 --D--> S9 | S6 --E--> S8 | S6 --F--> S10 | S3 --B--> S3 | S3 --I--> S4 | S3 --K--> S0 | S4 --B--> S3 | S4 --I--> S4 | S4 --K--> S0,
((E|L)*)(D|K)*JDK,D E J K L,S0,S0 S1 S2 S3 S4 S5 S6 S7,S6 --D--> S3 | S6 --E--> S6 | S6 --J--> S1 | S6 --K--> S4 | S6 --L--> S7 | S7 --D--> S3 | S7 --E--> S6 | S7 --J--> S1 | S7 --K--> S4 | S7 --L--> S7 | S5 --D--> S3 | S5 --E--> S6 | S5 --J--> S1 | S5 --K--> S4 | S5 --L--> S7 | S3 --D--> S3 | S3 --J--> S1 | S3 --K--> S4 | S4 --D--> S3 | S4 --J--> S1 | S4 --K--> S4 | S1 --D--> S2 | S2 --K--> S0,
((B|F|J|L)*L((D|G)))|((L|C)*C((J|K|L)))*,B C D F G J K L,S11 S0 S1 S6 S3 S4,S0 S1 S10 S11 S12 S2 S3 S4 S5 S6 S7 S8 S9,S7 --B--> S7 | S7 --F--> S8 | S7 --J--> S5 | S7 --L--> S10 | S8 --B--> S7 | S8 --F--> S8 | S8 --J--> S5 | S8 --L--> S10 | S5 --B--> S7 | S5 --F--> S8 | S5 --J--> S5 | S5 --L--> S10 | S10 --B--> S7 | S10 --D--> S0 | S10 --F--> S8 | S10 --G--> S1 | S10 --J--> S5 | S10 --L--> S10 | S12 --B--> S7 | S12 --C--> S9 | S12 --D--> S0 | S12 --F--> S8 | S12 --G--> S1 | S12 --J--> S5 | S12 --L--> S12 | S11 --B--> S7 | S11 --C--> S9 | S11 --F--> S8 | S11 --J--> S5 | S11 --L--> S12 | S6 --C--> S9 | S6 --L--> S2 | S2 --C--> S9 | S2 --L--> S2 | S9 --C--> S9 | S9 --J--> S3 | S9 --K--> S4 | S9 --L--> S6 | S3 --C--> S9 | S3 --L--> S2 | S4 --C--> S9 | S4 --L--> S2,
((H|I|A|G)*ALK)(J|G)*((C|L)*KJI)((E|J|I)*A)*,A C E G H I J K L,S11 S9,S0 S1 S10 S11 S12 S13 S14 S15 S16 S17 S2 S3 S4 S5 S6 S7 S8 S9,S15 --A--> S17 | S15 --G--> S10 | S15 --H--> S15 | S15 --I--> S16 | S16 --A--> S17 | S16 --G--> S10 | S16 --H--> S15 | S16 --I--> S16 | S17 --A--> S17 | S17 --G--> S10 | S17 --H--> S15 | S17 --I--> S16 | S17 --L--> S0 | S10 --A--> S17 | S10 --G--> S10 | S10 --H--> S15 | S10 --I--> S16 | S6 --A--> S17 | S6 --G--> S10 | S6 --H--> S15 | S6 --I--> S16 | S0 --K--> S12 | S12 --C--> S3 | S12 --G--> S14 | S12 --J--> S13 | S12 --K--> S1 | S12 --L--> S4 | S13 --C--> S3 | S13 --G--> S14 | S13 --J--> S13 | S13 --K--> S1 | S13 --L--> S4 | S14 --C--> S3 | S14 --G--> S14 | S14 --J--> S13 | S14 --K--> S1 | S14 --L--> S4 | S3 --C--> S3 | S3 --K--> S1 | S3 --L--> S4 | S4 --C--> S3 | S4 --K--> S1 | S4 --L--> S4 | S1 --J--> S2 | S2 --I--> S11 | S11 --A--> S9 | S11 --E--> S7 | S11 --I--> S5 | S11 --J--> S8 | S7 --A--> S9 | S7 --E--> S7 | S7 --I--> S5 | S7 --J--> S8 | S8 --A--> S9 | S8 --E--> S7 | S8 --I--> S5 | S8 --J--> S8 | S5 --A--> S9 | S5 --E--> S7 | S5 --I--> S5 | S5 --J--> S8 | S9 --A--> S9 | S9 --E--> S7 | S9 --I--> S5 | S9 --J--> S8,
(((A|L)*G((A|E|H|K)))*)|(F|C|G|E)*E|(((H|C|I)*I)*),A C E F G H I K L,S8 S16 S9 S6 S5 S17 S13 S12,S0 S1 S10 S11 S12 S13 S14 S15 S16 S17 S2 S3 S4 S5 S6 S7 S8 S9,S0 --A--> S0 | S0 --G--> S2 | S0 --L--> S1 | S1 --A--> S0 | S1 --G--> S2 | S1 --L--> S1 | S8 --A--> S0 | S8 --G--> S2 | S8 --L--> S1 | S16 --A--> S0 | S16 --C--> S11 | S16 --E--> S13 | S16 --F--> S10 | S16 --G--> S14 | S16 --L--> S1 | S9 --A--> S0 | S9 --G--> S2 | S9 --L--> S1 | S6 --A--> S0 | S6 --G--> S2 | S6 --L--> S1 | S5 --A--> S0 | S5 --G--> S2 | S5 --L--> S1 | S17 --A--> S0 | S17 --C--> S15 | S17 --E--> S13 | S17 --F--> S10 | S17 --G--> S14 | S17 --H--> S3 | S17 --I--> S12 | S17 --L--> S1 | S2 --A--> S8 | S2 --E--> S9 | S2 --H--> S6 | S2 --K--> S5 | S14 --A--> S8 | S14 --C--> S11 | S14 --E--> S16 | S14 --F--> S10 | S14 --G--> S7 | S14 --H--> S6 | S14 --K--> S5 | S10 --C--> S11 | S10 --E--> S13 | S10 --F--> S10 | S10 --G--> S7 | S11 --C--> S11 | S11 --E--> S13 | S11 --F--> S10 | S11 --G--> S7 | S15 --C--> S15 | S15 --E--> S13 | S15 --F--> S10 | S15 --G--> S7 | S15 --H--> S3 | S15 --I--> S12 | S7 --C--> S11 | S7 --E--> S13 | S7 --F--> S10 | S7 --G--> S7 | S13 --C--> S11 | S13 --E--> S13 | S13 --F--> S10 | S13 --G--> S7 | S3 --C--> S4 | S3 --H--> S3 | S3 --I--> S12 | S4 --C--> S4 | S4 --H--> S3 | S4 --I--> S12 | S12 --C--> S4 | S12 --H--> S3 | S12 --I--> S12,
(((H|K|F|E)*B)*)L(J|C|F)*G,B C E F G H J K L,S0,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S7 --B--> S9 | S7 --E--> S5 | S7 --F--> S6 | S7 --H--> S7 | S7 --K--> S8 | S8 --B--> S9 | S8 --E--> S5 | S8 --F--> S6 | S8 --H--> S7 | S8 --K--> S8 | S6 --B--> S9 | S6 --E--> S5 | S6 --F--> S6 | S6 --H--> S7 | S6 --K--> S8 | S5 --B--> S9 | S5 --E--> S5 | S5 --F--> S6 | S5 --H--> S7 | S5 --K--> S8 | S9 --B--> S9 | S9 --E--> S5 | S9 --F--> S6 | S9 --H--> S7 | S9 --K--> S8 | S9 --L--> S1 | S10 --B--> S9 | S10 --E--> S5 | S10 --F--> S6 | S10 --H--> S7 | S10 --K--> S8 | S10 --L--> S1 | S1 --C--> S4 | S1 --F--> S2 | S1 --G--> S0 | S1 --J--> S3 | S3 --C--> S4 | S3 --F--> S2 | S3 --G--> S0 | S3 --J--> S3 | S4 --C--> S4 | S4 --F--> S2 | S4 --G--> S0 | S4 --J--> S3 | S2 --C--> S4 | S2 --F--> S2 | S2 --G--> S0 | S2 --J--> S3,
(C(A|K|F)*A)(L|J)*F,A C F J K L,S7 S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --C--> S4 | S4 --A--> S8 | S4 --F--> S5 | S4 --K--> S6 | S8 --A--> S8 | S8 --F--> S7 | S8 --J--> S3 | S8 --K--> S6 | S8 --L--> S2 | S6 --A--> S8 | S6 --F--> S5 | S6 --K--> S6 | S5 --A--> S8 | S5 --F--> S5 | S5 --K--> S6 | S7 --A--> S8 | S7 --F--> S5 | S7 --K--> S6 | S2 --F--> S1 | S2 --J--> S3 | S2 --L--> S2 | S3 --F--> S1 | S3 --J--> S3 | S3 --L--> S2,
(H|K|J|L)*C((A|H|G|E)*E((J|K|F|C)))*(A(F|I|H|B)*L)((L|I|D|C)*),A B C D E F G H I J K L,S1 S9 S10 S5 S2,S0 S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S22 S23 S24 S3 S4 S5 S6 S7 S8 S9,S11 --C--> S17 | S11 --H--> S11 | S11 --J--> S6 | S11 --K--> S12 | S11 --L--> S3 | S12 --C--> S17 | S12 --H--> S11 | S12 --J--> S6 | S12 --K--> S12 | S12 --L--> S3 | S6 --C--> S17 | S6 --H--> S11 | S6 --J--> S6 | S6 --K--> S12 | S6 --L--> S3 | S3 --C--> S17 | S3 --H--> S11 | S3 --J--> S6 | S3 --K--> S12 | S3 --L--> S3 | S0 --C--> S17 | S0 --H--> S11 | S0 --J--> S6 | S0 --K--> S12 | S0 --L--> S3 | S17 --A--> S23 | S17 --E--> S22 | S17 --G--> S7 | S17 --H--> S14 | S13 --A--> S13 | S13 --E--> S22 | S13 --G--> S7 | S13 --H--> S14 | S23 --A--> S13 | S23 --B--> S4 | S23 --E--> S22 | S23 --F--> S15 | S23 --G--> S7 | S23 --H--> S24 | S23 --I--> S16 | S23 --L--> S1 | S14 --A--> S13 | S14 --E--> S22 | S14 --G--> S7 | S14 --H--> S14 | S24 --A--> S13 | S24 --B--> S4 | S24 --E--> S22 | S24 --F--> S15 | S24 --G--> S7 | S24 --H--> S24 | S24 --I--> S16 | S24 --L--> S1 | S7 --A--> S13 | S7 --E--> S22 | S7 --G--> S7 | S7 --H--> S14 | S22 --A--> S13 | S22 --C--> S18 | S22 --E--> S22 | S22 --F--> S19 | S22 --G--> S7 | S22 --H--> S14 | S22 --J--> S20 | S22 --K--> S21 | S20 --A--> S23 | S20 --E--> S22 | S20 --G--> S7 | S20 --H--> S14 | S21 --A--> S23 | S21 --E--> S22 | S21 --G--> S7 | S21 --H--> S14 | S19 --A--> S23 | S19 --E--> S22 | S19 --G--> S7 | S19 --H--> S14 | S18 --A--> S23 | S18 --E--> S22 | S18 --G--> S7 | S18 --H--> S14 | S15 --B--> S4 | S15 --F--> S15 | S15 --H--> S8 | S15 --I--> S16 | S15 --L--> S1 | S16 --B--> S4 | S16 --F--> S15 | S16 --H--> S8 | S16 --I--> S16 | S16 --L--> S1 | S8 --B--> S4 | S8 --F--> S15 | S8 --H--> S8 | S8 --I--> S16 | S8 --L--> S1 | S4 --B--> S4 | S4 --F--> S15 | S4 --H--> S8 | S4 --I--> S16 | S4 --L--> S1 | S1 --C--> S2 | S1 --D--> S5 | S1 --I--> S10 | S1 --L--> S9 | S9 --C--> S2 | S9 --D--> S5 | S9 --I--> S10 | S9 --L--> S9 | S10 --C--> S2 | S10 --D--> S5 | S10 --I--> S10 | S10 --L--> S9 | S5 --C--> S2 | S5 --D--> S5 | S5 --I--> S10 | S5 --L--> S9 | S2 --C--> S2 | S2 --D--> S5 | S2 --I--> S10 | S2 --L--> S9,
(((I|C|A)*D((K|L|B)))*)(F(B|D|K|I)*K),A B C D F I K L,S12,S0 S1 S10 S11 S12 S2 S3 S4 S5 S6 S7 S8 S9,S2 --A--> S1 | S2 --C--> S3 | S2 --D--> S0 | S2 --I--> S2 | S3 --A--> S1 | S3 --C--> S3 | S3 --D--> S0 | S3 --I--> S2 | S1 --A--> S1 | S1 --C--> S3 | S1 --D--> S0 | S1 --I--> S2 | S8 --A--> S1 | S8 --C--> S3 | S8 --D--> S0 | S8 --F--> S5 | S8 --I--> S2 | S9 --A--> S1 | S9 --C--> S3 | S9 --D--> S0 | S9 --F--> S5 | S9 --I--> S2 | S7 --A--> S1 | S7 --C--> S3 | S7 --D--> S0 | S7 --F--> S5 | S7 --I--> S2 | S4 --A--> S1 | S4 --C--> S3 | S4 --D--> S0 | S4 --F--> S5 | S4 --I--> S2 | S0 --B--> S7 | S0 --K--> S8 | S0 --L--> S9 | S5 --B--> S10 | S5 --D--> S11 | S5 --I--> S6 | S5 --K--> S12 | S10 --B--> S10 | S10 --D--> S11 | S10 --I--> S6 | S10 --K--> S12 | S11 --B--> S10 | S11 --D--> S11 | S11 --I--> S6 | S11 --K--> S12 | S12 --B--> S10 | S12 --D--> S11 | S12 --I--> S6 | S12 --K--> S12 | S6 --B--> S10 | S6 --D--> S11 | S6 --I--> S6 | S6 --K--> S12,
(D|B|I)*K((C|A|B))(H|E|F|C)+J,A B C D E F H I J K,S0,S0 S1 S10 S11 S12 S2 S3 S4 S5 S6 S7 S8 S9,S5 --B--> S6 | S5 --D--> S5 | S5 --I--> S3 | S5 --K--> S1 | S6 --B--> S6 | S6 --D--> S5 | S6 --I--> S3 | S6 --K--> S1 | S3 --B--> S6 | S3 --D--> S5 | S3 --I--> S3 | S3 --K--> S1 | S2 --B--> S6 | S2 --D--> S5 | S2 --I--> S3 | S2 --K--> S1 | S1 --A--> S8 | S1 --B--> S4 | S1 --C--> S7 | S7 --C--> S9 | S7 --E--> S12 | S7 --F--> S10 | S7 --H--> S11 | S8 --C--> S9 | S8 --E--> S12 | S8 --F--> S10 | S8 --H--> S11 | S4 --C--> S9 | S4 --E--> S12 | S4 --F--> S10 | S4 --H--> S11 | S11 --C--> S9 | S11 --E--> S12 | S11 --F--> S10 | S11 --H--> S11 | S11 --J--> S0 | S12 --C--> S9 | S12 --E--> S12 | S12 --F--> S10 | S12 --H--> S11 | S12 --J--> S0 | S10 --C--> S9 | S10 --E--> S12 | S10 --F--> S10 | S10 --H--> S11 | S10 --J--> S0 | S9 --C--> S9 | S9 --E--> S12 | S9 --F--> S10 | S9 --H--> S11 | S9 --J--> S0,
